ID			意味	説明	ロジバン	造語日	更新日
1		aa					
2		ea					
3		ee					
4		ae					
5		ia		主題		2019-03-25	
6		ie					
7		ii					
8		ei	?	疑問符		2019-04-03	
9		ai					
10		oa	!	感嘆符		2019-04-03	
11		oe					
12		oi		与格		2019-04-02	
13		oo					
14		io		述語		2019-03-25	2019-08-15
15		eo		対格		2019-03-25	
16		ao		添加	ji'a	2019-04-04	
17		ua					
18		ue		属格、修飾		2019-04-02	
19		ui					
20		uo					
21		uu					
22		ou					
23		iu		主格		2019-04-02	
24		eu					
25		au					
26		ba					
27		be					
28		bi					
29		bo					
30		bu					
31		bb	見る、見える、読む		viska / catlu / zgana / tcidu	2019-04-02	
32		ub					
33		ob					
34		ib					
35		eb					
36		ab					
37		ca					
38		ce					
39		ci					
40		co	大きい		barda	2019-08-15	
41		cu					
42		cb					
43		cc					
44		bc					
45		uc					
46		oc	言語		bangu	2018-11-13	2019-03-25
47		ic					
48		ec	0、零、〇	数字	no	2019-03-25	
49		ac	1、一	数字	pa	2019-03-25	
50		da	2、二	数字	re	2019-03-25	
51		de	3、三	数字	ci	2019-03-25	
52		di	4、四	数字	vo	2019-03-25	
53		do	5、五	数字	mu	2019-03-25	
54		du	6、六	数字	xa	2019-03-25	
55		db	7、七	数字	ze	2019-03-25	
56		dc	8、八	数字	bi	2019-03-25	
57		dd	9、九	数字	so	2019-03-25	
58		cd					
59		bd					
60		ud					
61		od					
62		id					
63		ed					
64		ad					
65		fa	A	ラテン文字	.abu	2019-03-25	
66		fe	B	ラテン文字	by.	2019-03-25	
67		fi	C	ラテン文字	cy.	2019-03-25	
68		fo	D	ラテン文字	dy.	2019-03-25	
69		fu	E	ラテン文字	.ebu	2019-03-25	
70		fb	F	ラテン文字	fy.	2019-03-25	
71		fc	G	ラテン文字	gy.	2019-03-25	
72		fd	H	ラテン文字	.y'y.bu	2019-03-25	
73		ff	I	ラテン文字	.ibu	2019-03-25	
74		df	J	ラテン文字	jy.	2019-03-25	
75		cf	K	ラテン文字	ky.	2019-03-25	
76		bf	L	ラテン文字	ly.	2019-03-25	
77		uf	M	ラテン文字	my.	2019-03-25	
78		of	N	ラテン文字	ny.	2019-03-25	
79		if	O	ラテン文字	.obu	2019-03-25	
80		ef	P	ラテン文字	py.	2019-03-25	
81		af	Q	ラテン文字	ky.bu	2019-03-25	
82		ga	R	ラテン文字	ry.	2019-03-25	
83		ge	S	ラテン文字	sy.	2019-03-25	
84		gi	T	ラテン文字	ty.	2019-03-25	
85		go	U	ラテン文字	.ubu	2019-03-25	
86		gu	V	ラテン文字	vy.	2019-03-25	
87		gb	W	ラテン文字	vy.bu	2019-03-25	
88		gc	X	ラテン文字	xy.	2019-03-25	
89		gd	Y	ラテン文字	.ybu	2019-03-25	
90		gf	Z	ラテン文字	zy.	2019-03-25	
91		gg					
92		fg					
93		dg					
94		cg					
95		bg					
96		ug					
97		og					
98		ig					
99		eg					
100		ag					
101		ha					
102		he					
103		hi					
104		ho					
105		hu					
106		hb					
107		hc					
108		hd					
109		hf					
110		hg	仮定、想定、想像、条件		da'i / xanri		
111		hh					
112		gh					
113		fh					
114		dh					
115		ch					
116		bh					
117		uh					
118		oh					
119		ih					
120		eh					
121		ah					
122		ja					
123		je					
124		ji					
125		jo					
126		ju					
127		jb					
128		jc					
129		jd					
130		jf					
131		jg					
132		jh					
133		jj					
134		hj					
135		gj					
136		fj					
137		dj					
138		cj					
139		bj					
140		uj					
141		oj					
142		ij	結果、終結する、落ち着く		jalge / ja'o	2019-04-04	
143		ej					
144		aj					
145		ka					
146		ke					
147		ki					
148		ko					
149		ku					
150		kb	あなた	二人称	do / odla	2018-10-12	2019-03-25
151		kc					
152		kd					
153		kf					
154		kg					
155		kh	聞く、聞こえる		tirna	2019-04-02	
156		kj					
157		kk					
158		jk					
159		hk					
160		gk					
161		fk					
162		dk					
163		ck	感謝する		ckire / ki'e	2018-10-13	2019-03-25
164		bk					
165		uk					
166		ok					
167		ik					
168		ek					
169		ak					
170		la					
171		le					
172		li					
173		lo					
174		lu	美しい		melbi	2018-11-13	2019-03-25
175		lb					
176		lc	好き、好む、喜ぶ		nelci	2019-04-03	
177		ld					
178		lf					
179		lg					
180		lh					
181		lj					
182		lk					
183		ll					
184		kl					
185		jl					
186		hl					
187		gl					
188		fl					
189		dl					
190		cl					
191		bl					
192		ul					
193		ol					
194		il					
195		el					
196		al					
197		ma					
198		me					
199		mi					
200		mo					
201		mu					
202		mb					
203		mc					
204		md					
205		mf					
206		mg					
207		mh					
208		mj					
209		mk					
210		ml					
211		mm					
212		lm					
213		km	あげる、与える、贈る、授ける		dunda	2019-04-03	
214		jm					
215		hm					
216		gm					
217		fm					
218		dm					
219		cm					
220		bm					
221		um					
222		om					
223		im					
224		em					
225		am					
226		na					
227		ne					
228		ni					
229		no					
230		nu					
231		nb					
232		nc					
233		nd					
234		nf					
235		ng	ウサギ目動物、兎		ractu	2018-10-13	2019-03-25
236		nh					
237		nj					
238		nk					
239		nl					
240		nm					
241		nn					
242		mn					
243		ln					
244		kn					
245		jn					
246		hn					
247		gn					
248		fn					
249		dn					
250		cn					
251		bn					
252		un					
253		on					
254		in					
255		en					
256		an					
257		pa					
258		pe					
259		pi					
260		po					
261		pu					
262		pb					
263		pc					
264		pd					
265		pf	リンゴ属植物、林檎		plise	2018-09-20	2019-03-25
266		pg					
267		ph					
268		pj	字、文字	文字体系ではなく個々の文字	lerfu	2018-11-13	2019-03-25
269		pk					
270		pl					
271		pm					
272		pn					
273		pp					
274		np					
275		mp					
276		lp	妨げる、障る、差し支える		dicra / fanza	2019-04-04	
277		kp					
278		jp					
279		hp					
280		gp	世界		munje	2018-10-13	2019-03-25
281		fp					
282		dp					
283		cp					
284		bp					
285		up					
286		op					
287		ip					
288		ep					
289		ap					
290		qa					
291		qe					
292		qi					
293		qo					
294		qu					
295		qb					
296		qc					
297		qd					
298		qf					
299		qg					
300		qh					
301		qj					
302		qk					
303		ql					
304		qm					
305		qn					
306		qp					
307		qq					
308		pq					
309		nq					
310		mq					
311		lq					
312		kq					
313		jq					
314		hq					
315		gq					
316		fq	良い、好ましい		xamgu / zabna	2018-10-12	2019-03-25
317		dq					
318		cq					
319		bq					
320		uq					
321		oq					
322		iq					
323		eq					
324		aq					
325		ra					
326		re					
327		ri					
328		ro					
329		ru					
330		rb					
331		rc					
332		rd	耳、聴覚器官		kerlo	2019-08-15	
333		rf					
334		rg					
335		rh					
336		rj					
337		rk					
338		rl					
339		rm	閉じる、閉める、閉まる		ganlo	2019-04-03	
340		rn					
341		rp					
342		rq					
343		rr					
344		qr					
345		pr					
346		nr					
347		mr					
348		lr					
349		kr					
350		jr					
351		hr					
352		gr					
353		fr					
354		dr					
355		cr					
356		br					
357		ur					
358		or					
359		ir					
360		er					
361		ar					
362		sa					
363		se					
364		si					
365		so					
366		su					
367		sb					
368		sc					
369		sd					
370		sf					
371		sg	何らか	不特定	zo'e / co'e	2018-10-13	2019-03-25
372		sh					
373		sj					
374		sk					
375		sl					
376		sm					
377		sn					
378		sp					
379		sq					
380		sr					
381		ss	冷たい、涼しい、寒い		lenku	2019-08-15	
382		rs					
383		qs					
384		ps					
385		ns					
386		ms					
387		ls					
388		ks					
389		js					
390		hs					
391		gs					
392		fs					
393		ds					
394		cs					
395		bs					
396		us					
397		os					
398		is					
399		es					
400		as					
401		ta					
402		te					
403		ti					
404		to					
405		tu					
406		tb					
407		tc					
408		td					
409		tf					
410		tg					
411		th					
412		tj					
413		tk					
414		tl					
415		tm					
416		tn					
417		tp					
418		tq					
419		tr					
420		ts					
421		tt					
422		st					
423		rt					
424		qt					
425		pt					
426		nt	温かい、暖かい、熱い、暑い		glare	2019-08-15	
427		mt					
428		lt					
429		kt					
430		jt					
431		ht					
432		gt					
433		ft	悪い／粗末		xlali / mabla	2018-10-12	2019-03-25
434		dt	何	疑問	ma / mo	2018-10-13	2019-03-25
435		ct					
436		bt					
437		ut					
438		ot					
439		it					
440		et					
441		at					
442		va					
443		ve					
444		vi					
445		vo					
446		vu					
447		vb					
448		vc					
449		vd					
450		vf					
451		vg					
452		vh					
453		vj					
454		vk					
455		vl					
456		vm					
457		vn					
458		vp					
459		vq					
460		vr					
461		vs					
462		vt					
463		vv					
464		tv					
465		sv					
466		rv					
467		qv					
468		pv	なる、なす		cenba / binxo / galfi / co'a / cfari	2019-04-03	
469		nv					
470		mv					
471		lv	赤い、赤		xunre	2018-09-20	2019-03-25
472		kv					
473		jv					
474		hv					
475		gv					
476		fv					
477		dv					
478		cv					
479		bv					
480		uv					
481		ov					
482		iv					
483		ev					
484		av	無い、欠く、失う	否定	claxu / cirko	2019-04-04	
485		wa					
486		we					
487		wi					
488		wo					
489		wu	挨拶する		rinsa / coi / co'o	2018-10-12	2019-03-25
490		wb					
491		wc					
492		wd					
493		wf					
494		wg					
495		wh					
496		wj					
497		wk					
498		wl					
499		wm					
500		wn					
501		wp					
502		wq					
503		wr					
504		ws					
505		wt					
506		wv					
507		ww					
508		vw	遠い		darno	2019-04-03	
509		tw					
510		sw	近い		jibni	2019-04-03	
511		rw					
512		qw					
513		pw					
514		nw					
515		mw					
516		lw					
517		kw					
518		jw					
519		hw					
520		gw					
521		fw					
522		dw					
523		cw	ネコ科動物、猫		mlatu	2019-08-15	
524		bw					
525		uw					
526		ow					
527		iw					
528		ew					
529		aw					
530		xa					
531		xe					
532		xi					
533		xo					
534		xu					
535		xb					
536		xc					
537		xd					
538		xf					
539		xg					
540		xh					
541		xj	留まる、持続、保持、してある、している	相：状態の持続	stali / ralte	2019-04-04	
542		xk					
543		xl					
544		xm					
545		xn					
546		xp					
547		xq					
548		xr					
549		xs					
550		xt					
551		xv					
552		xw					
553		xx					
554		wx					
555		vx					
556		tx					
557		sx					
558		rx					
559		qx	私	一人称	mi / imla	2018-09-20	2019-03-25
560		px					
561		nx					
562		mx					
563		lx					
564		kx					
565		jx					
566		hx					
567		gx					
568		fx					
569		dx					
570		cx					
571		bx					
572		ux					
573		ox					
574		ix					
575		ex					
576		ax					
577		ya					
578		ye					
579		yi					
580		yo					
581		yu					
582		yb					
583		yc	人間		prenu / remna	2018-09-20	2019-03-25
584		yd					
585		yf					
586		yg					
587		yh					
588		yj					
589		yk					
590		yl					
591		ym					
592		yn					
593		yp					
594		yq					
595		yr					
596		ys					
597		yt					
598		yv					
599		yw					
600		yx	食べる		citka	2018-09-20	2019-03-25
601		yy					
602		xy					
603		wy	開く、開ける		kalri	2019-04-03	
604		vy					
605		ty					
606		sy	走る		bajra	2021-02-05	
607		ry	名前、名称		cmene	2019-03-25	
608		qy					
609		py					
610		ny					
611		my					
612		ly					
613		ky					
614		jy					
615		hy					
616		gy					
617		fy					
618		dy					
619		cy					
620		by					
621		uy					
622		oy					
623		iy					
624		ey					
625		ay					
626		za					
627		ze					
628		zi					
629		zo					
630		zu					
631		zb					
632		zc					
633		zd					
634		zf					
635		zg					
636		zh					
637		zj					
638		zk					
639		zl					
640		zm					
641		zn					
642		zp					
643		zq					
644		zr					
645		zs					
646		zt					
647		zv					
648		zw					
649		zx					
650		zy					
651		zz					
652		yz					
653		xz					
654		wz					
655		vz					
656		tz					
657		sz					
658		rz					
659		qz					
660		pz					
661		nz					
662		mz					
663		lz					
664		kz					
665		jz					
666		hz					
667		gz					
668		fz					
669		dz					
670		cz					
671		bz					
672		uz					
673		oz	住む、暮らす、棲息する、生息する		xabju	2019-08-15	
674		iz					
675		ez					
676		az					
234949	/276\484		してもよい、差し支えない、大丈夫			2019-04-04	
340622	/434\583		誰			2019-04-03	
30724803	/46\/74\65		日本語	ISO 639-1 ja		2019-04-03	
40094178	/46\/69\79		エスペラント	ISO 639-1 eo		2019-04-03	
